,Category,Tag,Question,Answer,Cleaned,Label
0,My Account,Rating and Reviews,How to Review Product as well as Seller?,Everything is right here. Please check this out to make informed purchases on Daraz.,how review product well seller,1
1,My Account,Rating and Reviews,How to Filter Search Results with Product Ratings?,"Products can also be filtered according to the number of stars received by other customers.,You can now like/upvote reviews that you find helpful by pressing the Thumbs Up icon next underneath the review left side,You can also down-vote & report reviews that you think are not correct. Click on the More Options ellipses to mark the review as either Not Helpful or report it as Abuse.",how filter search result product ratings,1
2,My Account,Rating and Reviews,What are Ratings & Reviews and how do I write good reviews?,"Daraz customers have the option of rating and reviewing their product and seller experiences.,The customers can both leave star ratings and add text to describe what they liked or disliked about their experience.",what rate review i write good reviews,1
3,My Account,Product Warranty,How do I know if a product comes with free installation?,"Unfortunately we are not providing the Free Installation Services for now,Make sure to check the product description of products to get more details about the availability of the free installation",how i know product come free installation,1
4,My Account,Product Warranty,How do I know if a product comes with warranty?,"If a warranty is offered on a product the warranty period will be displayed on the right side of the product page,If a product is sold by multiple vendors the warranty period offered by each vendor will be displayed to the right of the page,Just click on the more information icon on the right side of the Return and Warranty tab",how i know product come warranty,1
5,My Account,Product Warranty,I lost my warranty card. How can I claim warranty?,Lost your warranty card? Don't worry! You can still claim your product's warranty by presenting your Daraz Invoice to any authorized,i lost warranti card how i claim warranty,1
6,My Account,Product Price,Are there any hidden costs or charges if I order from Daraz?,There are no hidden costs or charges when you order from Daraz. All costs are 100% visible at the end of the checkout process.,are hidden cost charg i order daraz,1
7,My Account,Product Price,Are the prices on Daraz negotiable?,Prices on Daraz are not negotiable. Daraz has thousands of sellers which offer you the best prices and deals.,are price daraz negotiable,1
8,My Account,Product Price,Why do I see different prices for the same product?,Daraz is a marketplace. We have a huge seller base and each one sources their product differently due to which prices vary for the same product but you can choose depending on your preference as the product quality remains the same.,whi i see differ price product,1
9,My Account,Product Information,How to contact Vendor?,"Now you can easily contact vendor through Daraz App and ask a query about any product of your choice, IM (Instant messaging) is a Chat feature that allows customers and sellers to communicate directly and quickly in real time.",how contact vendor,1
10,My Account,Product Information,Where can I find more detailed information about a product?,"Information regarding your product are described in the 'Key Features' section at the top of the product page,More detailed information can be found on the 'Description' and 'Specifications' section of the product page.",where i find detail inform product,1
11,My Account,Product Information,Are all products on Daraz new and unused?,Yes Daraz only offers 100% new and unused products.,are product daraz new unused,1
12,DarazMall,Darazmall for Sellers,How do I join DarazMall?,"Currently participation in DarazMall is on an invite-only basis at the discretion of the Daraz team based on performance,Reach out to your Key Account Manager to learn more about enlisting.",how i join darazmall,0
13,DarazMall,Darazmall return,What is DarazMall's return policy?,"DarazMall items can be returned within 14 days upon receipt of shipment. ,Non-DarazMall items can be returned after 7 days upon receipt of shipment.",what darazmall return policy,0
14,DarazMall,Darazmall shipping,What do I do if my order did not reach in the promised lead time?,"If you do not receive your DarazMall orders per the expected delivery dates specified for your order, you can first check the status of your order in the""My Orders""page in your Daraz account.,If the order status has not been updated or you would like to have more information for your order status, please get in touch with our friendly Customer Service Representatives via live chat'",what i order reach promis lead time,0
15,DarazMall,What is Darazmall,How can I identify a DarazMall product in the website?,"You can identify"" DarazMall"" products by the ""DarazMall"" badge on the product's page and catalog page for specific products.,These products are sold from the DarazMall Flagship Stores and there are certified & trusted daraz sellers.",how i identifi darazmal product website,0
